impedance_cycle,discharge_cycle,soh_pct,capacity_ah,Re_ohm,Rct_ohm
1,19,92.419,1.8484,0.038168,0.061581
2,20,94.039,1.8808,0.042352,0.079462
3,20,94.039,1.8808,0.039713,0.061807
4,21,94.074,1.8815,0.041719,0.080851
5,21,94.074,1.8815,0.038401,0.061001
6,22,94.055,1.8811,0.041726,0.073243
7,22,94.055,1.8811,0.037105,0.060076
8,23,93.55,1.871,0.03993,0.077525
9,23,93.55,1.871,0.037834,0.061294
10,24,93.51,1.8702,0.040868,0.076839
11,24,93.51,1.8702,0.03752,0.060073
12,25,93.534,1.8707,0.041699,0.072073
13,25,93.534,1.8707,0.037397,0.061233
14,26,92.981,1.8596,0.039987,0.073637
15,26,92.981,1.8596,0.03592,0.060571
16,27,93.002,1.86,0.041468,0.069543
17,27,93.002,1.86,0.037386,0.061317
18,28,92.958,1.8592,0.040911,0.069738
19,28,92.958,1.8592,0.037891,0.060329
20,29,92.407,1.8481,0.040097,0.072881
21,29,92.407,1.8481,0.037157,0.061035
22,30,92.46,1.8492,0.041192,0.068484
23,31,94.173,1.8835,0.041057,0.07066
24,31,94.173,1.8835,0.041759,0.064456
25,32,93.141,1.8628,0.041195,0.070221
26,32,93.141,1.8628,0.042327,0.064142
27,33,92.604,1.8521,0.039969,0.068125
28,33,92.604,1.8521,0.039673,0.063338
29,34,92.348,1.847,0.039794,0.068779
30,34,92.348,1.847,0.040465,0.063972
31,35,91.841,1.8368,0.040939,0.066752
32,35,91.841,1.8368,0.040831,0.062922
33,36,91.858,1.8372,0.041067,0.066285
34,36,91.858,1.8372,0.040787,0.063389
35,37,91.584,1.8317,0.041662,0.068164
36,37,91.584,1.8317,0.039817,0.064467
37,38,91.057,1.8211,0.040334,0.06552
38,38,91.057,1.8211,0.038791,0.06281
39,39,90.825,1.8165,0.0398,0.065013
40,39,90.825,1.8165,0.041358,0.064093
41,40,90.569,1.8114,0.040682,0.064802
42,40,90.569,1.8114,0.041988,0.062907
43,41,90.58,1.8116,0.040692,0.064032
44,41,90.58,1.8116,0.041064,0.06183
45,42,90.303,1.8061,0.040361,0.063592
46,42,90.303,1.8061,0.03971,0.063083
47,44,90.313,1.8063,0.04725,0.072726
48,44,90.313,1.8063,0.046589,0.069387
49,45,89.792,1.7958,0.046165,0.071405
50,45,89.792,1.7958,0.045059,0.069281
51,46,89.294,1.7859,0.045884,0.06926
52,46,89.294,1.7859,0.045814,0.069665
53,48,90.754,1.8151,0.049221,0.071343
54,48,90.754,1.8151,0.048887,0.069685
55,49,90.785,1.8157,0.048395,0.071352
56,49,90.785,1.8157,0.048055,0.069886
57,50,90.012,1.8002,0.048801,0.070552
58,50,90.012,1.8002,0.047509,0.070373
59,51,89.522,1.7904,0.047771,0.070712
60,51,89.522,1.7904,0.04818,0.07048
61,52,89.017,1.7803,0.048071,0.071685
62,52,89.017,1.7803,0.048532,0.07035
63,53,88.766,1.7753,0.048129,0.071036
64,53,88.766,1.7753,0.049746,0.07096
65,54,88.513,1.7703,0.049054,0.071651
66,54,88.513,1.7703,0.049894,0.069888
67,55,88.004,1.7601,0.047714,0.071049
68,55,88.004,1.7601,0.047621,0.069596
69,56,87.482,1.7496,0.047994,0.071553
